id,name,base_experience,height,weight,abilities,primary_type,secondary_type,move_1,move_2,move_3,move_4,move_5,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,64,7,69,"overgrow, chlorophyll",grass,poison,razor-wind,swords-dance,cut,bind,vine-whip,45,49,49,65,65,45
2,ivysaur,142,10,130,"overgrow, chlorophyll",grass,poison,swords-dance,cut,bind,vine-whip,headbutt,60,62,63,80,80,60
3,venusaur,236,20,1000,"overgrow, chlorophyll",grass,poison,swords-dance,cut,bind,vine-whip,headbutt,80,82,83,100,100,80
4,charmander,62,6,85,"blaze, solar-power",fire,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,39,52,43,60,50,65
5,charmeleon,142,11,190,"blaze, solar-power",fire,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,58,64,58,80,65,80
6,charizard,240,17,905,"blaze, solar-power",fire,flying,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,78,84,78,109,85,100
7,squirtle,63,5,90,"torrent, rain-dish",water,,mega-punch,ice-punch,mega-kick,headbutt,tackle,44,48,65,50,64,43
8,wartortle,142,10,225,"torrent, rain-dish",water,,mega-punch,ice-punch,mega-kick,headbutt,tackle,59,63,80,65,80,58
9,blastoise,239,16,855,"torrent, rain-dish",water,,mega-punch,ice-punch,mega-kick,headbutt,tackle,79,83,100,85,105,78
10,caterpie,39,3,29,"shield-dust, run-away",bug,,tackle,string-shot,snore,bug-bite,electroweb,45,30,35,20,20,45
11,metapod,72,7,99,shed-skin,bug,,string-shot,harden,iron-defense,bug-bite,electroweb,50,20,55,25,25,30
12,butterfree,178,11,320,"compound-eyes, tinted-lens",bug,flying,razor-wind,gust,whirlwind,headbutt,tackle,60,45,50,90,80,70
13,weedle,39,3,32,"shield-dust, run-away",bug,poison,poison-sting,string-shot,bug-bite,electroweb,,40,35,30,20,20,50
14,kakuna,72,6,100,shed-skin,bug,poison,string-shot,harden,iron-defense,bug-bite,electroweb,45,25,50,25,25,35
15,beedrill,178,10,295,"swarm, sniper",bug,poison,swords-dance,cut,headbutt,fury-attack,take-down,65,90,40,45,80,75
16,pidgey,50,3,18,"keen-eye, tangled-feet, big-pecks",normal,flying,razor-wind,gust,wing-attack,whirlwind,fly,40,45,40,35,35,56
17,pidgeotto,122,11,300,"keen-eye, tangled-feet, big-pecks",normal,flying,razor-wind,gust,wing-attack,whirlwind,fly,63,60,55,50,50,71
18,pidgeot,216,15,395,"keen-eye, tangled-feet, big-pecks",normal,flying,razor-wind,gust,wing-attack,whirlwind,fly,83,80,75,70,70,101
19,rattata,51,3,35,"run-away, guts, hustle",normal,,cut,headbutt,tackle,body-slam,take-down,30,56,35,25,35,72
20,raticate,145,7,185,"run-away, guts, hustle",normal,,swords-dance,cut,headbutt,tackle,body-slam,55,81,60,50,70,97
21,spearow,52,3,20,"keen-eye, sniper",normal,flying,razor-wind,wing-attack,whirlwind,fly,headbutt,40,60,30,31,31,70
22,fearow,155,12,380,"keen-eye, sniper",normal,flying,razor-wind,wing-attack,whirlwind,fly,headbutt,65,90,65,61,61,100
23,ekans,58,20,69,"intimidate, shed-skin, unnerve",poison,,bind,slam,headbutt,body-slam,wrap,35,60,44,40,54,55
24,arbok,157,35,650,"intimidate, shed-skin, unnerve",poison,,bind,slam,headbutt,body-slam,wrap,60,95,69,65,79,80
